id,year,stats_type,SOG,PPP,SHG,HIT,STP,FOL,SHA,GWG,P_M,GP,PPG,SHP,G,ATOI,PTS,STPA,PPA,PIM,TTOI,BLK,A,STPG,FOW,_25,DEF,HAT,MIN,FP,FP_AVG
2300,2023,projected,225.0,23.0,0.0,81.0,24.0,0.0,1.0,2.0,8.0,82.0,5.0,1.0,12.0,1506.0,65.0,19.0,18.0,44.0,123492.0,143.0,53.0,5.0,1.0,24.0,53.0,,,369.85,4.51
2300,2023,actual,255.0,23.0,0.0,40.0,23.0,0.0,0.0,2.0,19.0,82.0,4.0,0.0,18.0,1392.91,61.0,19.0,19.0,44.0,114219.0,86.0,43.0,4.0,1.0,2193.0,61.0,,,349.25,4.26
2300,2024,projected,207.0,16.0,1.0,42.0,16.0,0.0,0.0,0.0,21.0,82.0,3.0,1.0,11.0,1350.0,51.0,13.0,13.0,42.0,110700.0,85.0,40.0,3.0,0.0,2045.0,40.0,,,283.95,3.46
2300,2024,actual,185.0,20.0,1.0,33.0,21.0,0.0,0.0,0.0,19.0,82.0,4.0,1.0,10.0,1290.05,43.0,16.0,16.0,20.0,105784.0,87.0,33.0,5.0,0.0,2045.0,43.0,,,256.05,3.12
2300,2025,projected,198.0,21.0,1.0,42.0,23.0,,1.0,,19.0,82.0,4.0,2.0,12.0,1338.0,45.0,18.0,17.0,32.0,109716.0,85.0,33.0,5.0,,,45.0,,,274.7,3.35
2300,2025,actual,175.0,3.0,0.0,11.0,3.0,0.0,0.0,0.0,7.0,82.0,0.0,0.0,6.0,1257.33,29.0,3.0,3.0,28.0,103101.0,98.0,23.0,0.0,0.0,2071.0,29.0,,,202.35,2.47
2300,2026,projected,192.0,8.0,,29.0,8.0,,,,15.0,82.0,1.0,,7.0,1236.0,33.0,7.0,7.0,26.0,101352.0,91.0,26.0,1.0,,,33.0,,,219.9,2.68
2300,2026,actual,172.0,1.0,0.0,20.0,1.0,0.0,0.0,5.0,33.0,82.0,0.0,0.0,12.0,1132.57,35.0,1.0,1.0,32.0,92871.0,91.0,23.0,0.0,0.0,2018.0,35.0,,,229.0,2.79
2300,2027,projected,185.0,3.0,,23.0,3.0,,,,28.0,84.0,,,11.0,1112.19,35.0,3.0,3.0,30.0,93423.96,95.0,24.0,,,,35.0,,,228.55,2.72
2300,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3539,2023,projected,209.0,19.0,1.0,123.0,21.0,0.0,2.0,3.0,19.0,74.0,3.0,2.0,12.0,1524.0,54.0,18.0,16.0,44.0,112776.0,110.0,42.0,3.0,0.0,60.0,42.0,,,321.55,4.35
3539,2023,actual,161.0,21.0,1.0,162.0,22.0,0.0,0.0,3.0,-13.0,64.0,6.0,1.0,12.0,1491.45,41.0,15.0,15.0,30.0,95453.0,108.0,29.0,7.0,0.0,1731.0,41.0,,,278.95,4.36
3539,2024,projected,151.0,18.0,0.0,166.0,19.0,0.0,1.0,2.0,8.0,68.0,3.0,1.0,10.0,1380.0,44.0,16.0,15.0,36.0,93840.0,118.0,34.0,3.0,0.0,2254.0,34.0,,,276.85,4.07
3539,2024,actual,164.0,5.0,0.0,125.0,6.0,0.0,1.0,2.0,13.0,82.0,0.0,1.0,10.0,1481.3,51.0,6.0,5.0,62.0,121467.0,136.0,41.0,0.0,0.0,2254.0,51.0,,,321.0,3.91
3539,2025,projected,157.0,20.0,,151.0,20.0,,,,18.0,76.0,2.0,,10.0,1488.0,46.0,18.0,18.0,40.0,113088.0,117.0,36.0,2.0,,,46.0,,,291.85,3.84
3539,2025,actual,164.0,12.0,1.0,119.0,13.0,0.0,0.0,0.0,-15.0,74.0,4.0,1.0,9.0,1411.5,30.0,8.0,8.0,52.0,104451.0,99.0,21.0,5.0,0.0,2014.0,30.0,,,237.4,3.21
3539,2026,projected,165.0,15.0,1.0,125.0,17.0,,1.0,,-7.0,77.0,2.0,2.0,11.0,1428.0,44.0,14.0,13.0,54.0,109956.0,129.0,33.0,3.0,,,44.0,,,299.75,3.89
3539,2026,actual,104.0,10.0,0.0,95.0,10.0,0.0,0.0,2.0,-4.0,74.0,1.0,0.0,3.0,1300.95,34.0,9.0,9.0,38.0,96270.0,94.0,31.0,1.0,0.0,1667.0,34.0,,,214.0,2.89
3539,2027,projected,127.0,12.0,,117.0,12.0,,,,-4.0,83.0,2.0,,4.0,1333.02,39.0,10.0,10.0,47.0,110640.66,107.0,35.0,2.0,,,39.0,,,248.45,2.99
3539,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3995,2023,projected,144.0,21.0,0.0,128.0,23.0,0.0,2.0,2.0,6.0,80.0,5.0,2.0,11.0,1548.0,47.0,18.0,16.0,34.0,123840.0,119.0,36.0,5.0,0.0,70.0,36.0,,,283.3,3.54
3995,2023,actual,145.0,27.0,0.0,115.0,27.0,0.0,0.0,2.0,12.0,81.0,4.0,0.0,9.0,1573.74,52.0,23.0,23.0,34.0,127473.0,104.0,43.0,4.0,0.0,2061.0,52.0,,,299.25,3.69
3995,2024,projected,81.0,12.0,0.0,62.0,12.0,0.0,0.0,3.0,7.0,45.0,2.0,0.0,5.0,1536.0,29.0,10.0,10.0,26.0,69120.0,58.0,24.0,2.0,0.0,2071.0,24.0,,,165.45,3.68
3995,2024,actual,135.0,20.0,0.0,104.0,20.0,0.0,0.0,3.0,15.0,82.0,7.0,0.0,15.0,1547.61,50.0,13.0,13.0,44.0,126904.0,142.0,35.0,7.0,0.0,2071.0,50.0,,,318.65,3.89
3995,2025,projected,143.0,22.0,,111.0,22.0,,,,16.0,80.0,5.0,,9.0,1548.0,47.0,17.0,17.0,48.0,123840.0,127.0,38.0,5.0,,,47.0,,,297.85,3.72
3995,2025,actual,46.0,6.0,1.0,26.0,7.0,0.0,0.0,1.0,9.0,30.0,0.0,1.0,4.0,1448.2,17.0,6.0,6.0,20.0,43446.0,45.0,13.0,1.0,0.0,792.0,17.0,,,107.6,3.59
3995,2026,projected,128.0,21.0,,108.0,21.0,,,,13.0,77.0,5.0,,8.0,1464.0,39.0,16.0,16.0,36.0,112728.0,118.0,31.0,5.0,,,39.0,,,257.8,3.35
3995,2026,actual,101.0,1.0,0.0,52.0,2.0,0.0,1.0,0.0,4.0,72.0,0.0,1.0,5.0,1385.18,23.0,2.0,1.0,40.0,99733.0,76.0,18.0,0.0,0.0,1867.0,23.0,,,163.95,2.28
3995,2027,projected,96.0,9.0,,65.0,9.0,,,,8.0,63.0,3.0,,7.0,1464.48,28.0,6.0,6.0,34.0,92262.24,88.0,21.0,3.0,,,28.0,,,188.5,2.99
3995,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,2023,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,2023,actual,54.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,-4.0,46.0,0.0,0.0,1.0,898.5,5.0,0.0,0.0,42.0,41331.0,50.0,4.0,0.0,1.0,832.0,5.0,,,86.9,1.89
4002,2024,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,2024,actual,83.0,0.0,0.0,95.0,1.0,0.0,1.0,1.0,11.0,65.0,0.0,1.0,3.0,1072.83,14.0,1.0,0.0,63.0,69734.0,83.0,11.0,0.0,0.0,1384.0,14.0,,,150.25,2.31
4002,2025,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,2025,actual,79.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,-6.0,81.0,0.0,0.0,4.0,948.42,16.0,0.0,0.0,43.0,76822.0,80.0,12.0,0.0,0.0,1577.0,16.0,,,141.35,1.75
4002,2026,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,2026,actual,30.0,0.0,0.0,47.0,0.0,1.0,0.0,0.0,8.0,41.0,0.0,0.0,2.0,872.66,6.0,0.0,0.0,18.0,35779.0,37.0,4.0,0.0,0.0,717.0,6.0,,,59.7,1.46
4002,2027,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4954,2023,projected,91.0,1.0,0.0,105.0,2.0,0.0,1.0,1.0,8.0,73.0,0.0,1.0,5.0,1362.0,23.0,2.0,1.0,26.0,99426.0,144.0,18.0,0.0,0.0,191.0,18.0,,,189.75,2.6
4954,2023,actual,78.0,0.0,0.0,63.0,0.0,0.0,0.0,1.0,12.0,71.0,0.0,0.0,2.0,1291.75,20.0,0.0,0.0,22.0,91714.0,165.0,18.0,0.0,0.0,1771.0,20.0,,,182.3,2.57
4954,2024,projected,76.0,4.0,0.0,65.0,4.0,0.0,0.0,1.0,14.0,70.0,0.0,0.0,2.0,1290.0,18.0,4.0,4.0,18.0,90300.0,133.0,16.0,0.0,0.0,1918.0,16.0,,,158.0,2.26
4954,2024,actual,91.0,4.0,0.0,35.0,4.0,0.0,0.0,1.0,19.0,74.0,0.0,0.0,3.0,1307.28,32.0,4.0,4.0,31.0,96739.0,139.0,29.0,0.0,0.0,1918.0,32.0,,,213.25,2.88
4954,2025,projected,94.0,1.0,,51.0,1.0,,,,17.0,75.0,,,4.0,1308.0,22.0,1.0,1.0,26.0,98100.0,147.0,18.0,,,,22.0,,,185.6,2.47
4954,2025,actual,78.0,1.0,1.0,23.0,4.0,0.0,2.0,2.0,43.0,82.0,0.0,3.0,4.0,1222.22,31.0,3.0,1.0,22.0,100222.0,152.0,27.0,1.0,0.0,2099.0,31.0,,,212.3,2.59
4954,2026,projected,87.0,2.0,,27.0,2.0,,,,21.0,80.0,,,3.0,1230.0,27.0,2.0,2.0,24.0,98400.0,150.0,24.0,,,,27.0,,,196.45,2.46
4954,2026,actual,39.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,14.0,48.0,0.0,0.0,6.0,1155.38,21.0,0.0,0.0,6.0,55458.0,76.0,15.0,0.0,0.0,1166.0,21.0,,,121.65,2.53
4954,2027,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4954,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4973,2023,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4973,2023,actual,58.0,0.0,0.0,102.0,1.0,0.0,1.0,0.0,3.0,60.0,0.0,1.0,0.0,933.2,5.0,1.0,0.0,63.0,55992.0,76.0,5.0,0.0,1.0,1206.0,5.0,,,110.2,1.84
4973,2024,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4973,2024,actual,60.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,-3.0,63.0,0.0,0.0,5.0,966.03,15.0,0.0,0.0,61.0,60860.0,101.0,10.0,0.0,0.0,1306.0,15.0,,,155.8,2.47
4973,2025,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4973,2025,actual,27.0,0.0,1.0,41.0,1.0,0.0,0.0,0.0,-9.0,32.0,0.0,1.0,1.0,792.53,6.0,0.0,0.0,33.0,25361.0,23.0,5.0,1.0,0.0,577.0,6.0,,,59.85,1.87
4973,2026,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4973,2026,actual,10.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,-1.0,15.0,0.0,0.0,0.0,664.67,2.0,0.0,0.0,11.0,9970.0,11.0,2.0,0.0,0.0,230.0,2.0,,,20.7,1.38
4973,2027,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4973,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4991,2023,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4991,2023,actual,109.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,12.0,78.0,0.0,0.0,3.0,1163.33,17.0,0.0,0.0,61.0,90740.0,123.0,14.0,0.0,0.0,1831.0,17.0,,,184.95,2.37
4991,2024,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4991,2024,actual,61.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,10.0,78.0,0.0,0.0,2.0,1121.36,11.0,0.0,0.0,61.0,87466.0,166.0,9.0,0.0,0.0,1916.0,11.0,,,170.85,2.19
4991,2025,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4991,2025,actual,66.0,0.0,0.0,106.0,1.0,0.0,1.0,0.0,-2.0,82.0,0.0,1.0,1.0,1216.93,17.0,1.0,0.0,77.0,99788.0,211.0,16.0,0.0,0.0,2212.0,17.0,,,224.1,2.73
4991,2026,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4991,2026,actual,62.0,0.0,0.0,73.0,1.0,0.0,1.0,0.0,16.0,82.0,0.0,1.0,3.0,1096.13,23.0,1.0,0.0,50.0,89883.0,151.0,20.0,0.0,0.0,1974.0,23.0,,,196.3,2.39
4991,2027,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4991,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5052,2023,projected,121.0,2.0,1.0,119.0,4.0,0.0,1.0,0.0,13.0,80.0,0.0,2.0,6.0,1320.0,25.0,3.0,2.0,61.0,105600.0,126.0,19.0,1.0,0.0,197.0,19.0,,,214.65,2.68
5052,2023,actual,100.0,0.0,0.0,93.0,1.0,0.0,1.0,0.0,-16.0,78.0,0.0,1.0,1.0,1254.38,17.0,1.0,0.0,76.0,97842.0,144.0,16.0,0.0,0.0,2081.0,17.0,,,197.3,2.53
5052,2024,projected,103.0,0.0,2.0,91.0,2.0,0.0,0.0,0.0,-9.0,80.0,0.0,2.0,1.0,1278.0,16.0,0.0,0.0,72.0,102240.0,118.0,15.0,2.0,0.0,1953.0,15.0,,,181.85,2.27
5052,2024,actual,93.0,0.0,2.0,95.0,2.0,0.0,0.0,0.0,16.0,77.0,0.0,2.0,5.0,1136.94,29.0,0.0,0.0,77.0,87544.0,136.0,24.0,2.0,0.0,1953.0,29.0,,,235.25,3.06
5052,2025,projected,109.0,,1.0,126.0,2.0,,1.0,,12.0,79.0,,2.0,4.0,1158.0,23.0,1.0,,78.0,91482.0,141.0,19.0,1.0,,,23.0,,,225.35,2.85
