id,year,stats_type,SOG,PPP,SHG,HIT,STP,FOL,SHA,GWG,P_M,GP,PPG,SHP,G,ATOI,PTS,STPA,PPA,PIM,TTOI,BLK,A,STPG,FOW,_25,HAT,MIN,FP,FP_AVG
2273,2023,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273,2023,actual,116.0,12.0,0.0,48.0,12.0,0.0,0.0,3.0,-28.0,81.0,6.0,0.0,12.0,693.74,25.0,6.0,6.0,95.0,56193.0,25.0,13.0,6.0,0.0,1241.0,,,167.8,2.07
2273,2024,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273,2024,actual,82.0,4.0,0.0,40.0,4.0,1.0,0.0,2.0,-6.0,54.0,3.0,0.0,12.0,802.93,22.0,1.0,1.0,46.0,43358.0,17.0,10.0,3.0,0.0,866.0,,,117.5,2.18
2273,2025,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273,2025,actual,100.0,7.0,0.0,36.0,7.0,16.0,0.0,4.0,12.0,81.0,4.0,0.0,19.0,716.22,30.0,3.0,3.0,61.0,58014.0,26.0,11.0,4.0,17.0,1174.0,,,160.6,1.98
2273,2026,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273,2026,actual,113.0,13.0,0.0,30.0,13.0,24.0,0.0,2.0,0.0,72.0,5.0,0.0,17.0,820.25,37.0,8.0,8.0,81.0,59058.0,20.0,20.0,5.0,7.0,1160.0,,,183.75,2.55
2273,2027,projected,114.0,11.0,,34.0,11.0,,,,1.0,73.0,5.0,,16.0,798.18,34.0,6.0,6.0,81.0,58266.99,22.0,18.0,5.0,,,,,175.4,2.4
2273,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,2023,projected,317.0,23.0,0.0,163.0,23.0,5.0,0.0,3.0,5.0,74.0,15.0,0.0,48.0,1230.0,84.0,8.0,8.0,16.0,91020.0,26.0,36.0,15.0,4.0,14.0,2.0,,360.55,4.87
3101,2023,actual,294.0,25.0,0.0,188.0,25.0,5.0,0.0,3.0,-16.0,73.0,14.0,0.0,42.0,1212.25,75.0,11.0,11.0,48.0,88494.0,23.0,33.0,14.0,4.0,1591.0,2.0,,348.3,4.77
3101,2024,projected,301.0,23.0,0.0,165.0,23.0,2.0,0.0,5.0,-18.0,75.0,13.0,0.0,40.0,1212.0,70.0,10.0,10.0,32.0,90900.0,24.0,30.0,13.0,0.0,1670.0,,,322.75,4.3
3101,2024,actual,272.0,28.0,0.0,146.0,28.0,2.0,0.0,5.0,-22.0,79.0,13.0,0.0,31.0,1153.27,65.0,15.0,15.0,20.0,91108.0,27.0,34.0,13.0,0.0,1670.0,,,292.6,3.7
3101,2025,projected,302.0,26.0,,171.0,26.0,,,,-19.0,77.0,15.0,,38.0,1182.0,69.0,11.0,11.0,28.0,91014.0,26.0,31.0,15.0,,,,,316.1,4.11
3101,2025,actual,237.0,22.0,0.0,110.0,22.0,2.0,0.0,7.0,15.0,65.0,14.0,0.0,44.0,1063.46,73.0,8.0,8.0,14.0,69125.0,13.0,29.0,14.0,0.0,1274.0,2.0,,304.75,4.69
3101,2026,projected,289.0,25.0,,139.0,25.0,,,,-12.0,75.0,15.0,,42.0,1098.0,73.0,10.0,10.0,22.0,82350.0,21.0,31.0,15.0,,,,,315.65,4.21
3101,2026,actual,244.0,19.0,0.0,134.0,19.0,2.0,0.0,5.0,-5.0,82.0,5.0,0.0,32.0,1046.9,64.0,14.0,14.0,26.0,85846.0,16.0,32.0,5.0,2.0,1615.0,2.0,,278.4,3.4
3101,2027,projected,258.0,21.0,,133.0,21.0,,,,-4.0,82.0,7.0,,35.0,1050.12,68.0,14.0,14.0,24.0,86109.84,18.0,33.0,7.0,,,,,283.8,3.46
3101,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114,2023,projected,213.0,29.0,0.0,61.0,29.0,868.0,0.0,9.0,18.0,74.0,10.0,0.0,33.0,1200.0,91.0,19.0,19.0,30.0,88800.0,39.0,58.0,10.0,978.0,26.0,,,337.35,4.56
3114,2023,actual,255.0,27.0,0.0,71.0,27.0,868.0,0.0,9.0,8.0,82.0,9.0,0.0,33.0,1208.61,93.0,18.0,18.0,52.0,99106.0,47.0,60.0,9.0,978.0,1945.0,,,366.35,4.47
3114,2024,projected,235.0,34.0,0.0,68.0,34.0,782.0,0.0,3.0,12.0,80.0,10.0,0.0,32.0,1200.0,89.0,24.0,24.0,44.0,96000.0,46.0,57.0,10.0,1090.0,1996.0,1.0,,348.55,4.36
3114,2024,actual,278.0,23.0,0.0,90.0,23.0,782.0,0.0,3.0,7.0,82.0,10.0,0.0,42.0,1205.21,94.0,13.0,13.0,40.0,98827.0,37.0,52.0,10.0,1090.0,1996.0,1.0,,369.5,4.51
3114,2025,projected,268.0,32.0,,87.0,32.0,,,,15.0,82.0,12.0,,37.0,1200.0,98.0,20.0,20.0,42.0,98400.0,42.0,61.0,12.0,,,,,372.7,4.55
3114,2025,actual,227.0,27.0,0.0,66.0,27.0,765.0,0.0,10.0,-20.0,80.0,12.0,0.0,33.0,1222.47,91.0,15.0,15.0,31.0,97798.0,39.0,58.0,12.0,1017.0,1958.0,1.0,,345.85,4.32
3114,2026,projected,231.0,26.0,,73.0,26.0,,,,6.0,80.0,10.0,,33.0,1206.0,92.0,16.0,16.0,38.0,96480.0,39.0,59.0,10.0,,,,,338.55,4.23
3114,2026,actual,160.0,23.0,0.0,60.0,23.0,628.0,0.0,4.0,0.0,68.0,10.0,0.0,29.0,1153.85,74.0,13.0,13.0,44.0,78462.0,30.0,45.0,10.0,773.0,1479.0,,,280.5,4.12
