id,year,stats_type,L,PPP,STP,W,GAA,GP,GS,SVP,SHP,MIN,OTL,STPA,SA,SO,STPG,SV,_12,GA,_99,TTOI,_25,ATOI,_5,A,PTS,G,FP,FP_AVG
3634,2023,projected,13.0,0.0,0.0,25.0,2.49,41.0,45.0,0.91,0.0,160173.0,7.0,0.0,1259.0,2.0,0.0,1148.0,0.56,111.0,,,178.0,,1.0,,,,399.4,8.88
3634,2023,actual,15.0,0.0,0.0,16.0,3.41,41.0,36.0,0.88,0.0,134085.0,6.0,0.0,1080.0,2.0,0.0,953.0,0.43,127.0,,,,,1.0,,,,265.9,7.39
3634,2024,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3634,2024,actual,6.0,0.0,0.0,18.0,2.62,27.0,26.0,0.91,0.0,94964.0,2.0,0.0,770.0,2.0,0.0,701.0,0.69,69.0,,,,,,,,,257.3,9.9
3634,2025,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3634,2025,actual,7.0,0.0,0.0,11.0,3.17,24.0,20.0,0.89,0.0,79541.0,2.0,0.0,657.0,3.0,0.0,587.0,0.55,70.0,,,,,,,,,183.1,9.15
3634,2026,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3634,2026,actual,17.0,0.0,0.0,6.0,3.09,25.0,24.0,0.89,0.0,85080.0,2.0,0.0,671.0,2.0,0.0,598.0,0.24,73.0,,,,,,,,,139.4,5.81
3634,2027,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3634,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3870,2023,projected,20.0,0.0,0.0,23.0,2.75,43.0,50.0,0.91,0.0,177970.0,7.0,0.0,1545.0,2.0,0.0,1409.0,0.46,136.0,,,201.0,,,,,,433.7,8.67
3870,2023,actual,21.0,0.0,0.0,12.0,3.48,43.0,41.0,0.89,0.0,152280.0,8.0,0.0,1335.0,3.0,0.0,1188.0,0.29,147.0,,,,,,,,,296.4,7.23
3870,2024,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3870,2024,actual,8.0,0.0,0.0,11.0,3.11,25.0,20.0,0.9,0.0,81144.0,2.0,0.0,727.0,2.0,0.0,657.0,0.52,70.0,,,,,,,,,199.1,9.96
3870,2025,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3870,2025,actual,10.0,0.0,0.0,10.0,3.04,24.0,21.0,0.9,0.0,81770.0,2.0,0.0,662.0,1.0,0.0,594.0,0.45,69.0,,,,,,,,,169.2,8.06
3870,2026,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3870,2026,actual,4.0,0.0,0.0,7.0,2.42,14.0,13.0,0.89,0.0,49067.0,2.0,0.0,289.0,1.0,0.0,256.0,0.54,33.0,,,,,,,,,91.8,7.06
3870,2027,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3870,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5111,2023,projected,26.0,0.0,0.0,14.0,3.17,42.0,45.0,0.9,0.0,160173.0,5.0,0.0,1441.0,3.0,0.0,1301.0,0.31,141.0,,,383.0,,,,,,334.3,7.43
5111,2023,actual,24.0,0.0,0.0,15.0,3.55,42.0,41.0,0.89,0.0,147025.0,3.0,0.0,1335.0,1.0,0.0,1190.0,0.36,145.0,,,,,,,,,291.0,7.1
5111,2024,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
