id,name,position,selected
2273,Corey Perry,F,
2300,Brent Burns,D,
3101,Alex Ovechkin,F,
3114,Sidney Crosby,F,
3124,Evgeni Malkin,F,
3183,Anze Kopitar,F,
3535,Nick Foligno,F,
3539,Kris Letang,D,
3541,Jordan Staal,F,
3634,Jonathan Quick,G,
3669,Jonathan Toews,F,
3683,Ryan Reaves,F,
3735,Patrick Kane,F,
3775,Claude Giroux,F,
3792,David Perron,F,
3797,Mikael Backlund,F,
3822,James van Riemsdyk,F,
3852,Brad Marchand,F,
3870,James Reimer,G,
3946,Lars Eller,F,
3995,Drew Doughty,D,
3998,Jamie Benn,F,
4002,Zach Bogosian,D,
4954,Ryan McDonagh,D,
4968,Alex Killorn,F,
4969,Evgenii Dadonov,F,
4973,Brendan Smith,D,
4991,Ian Cole,D,
5032,Jordan Eberle,F,
5037,Steven Stamkos,F,
5052,Tyler Myers,D,
5073,Travis Hamonic,D,
5074,Adam Henrique,F,
5079,Jared Spurgeon,D,
5092,Luke Schenn,D,
5111,Jake Allen,G,
5118,John Carlson,D,
5157,Victor Hedman,D,
5160,John Tavares,F,
5161,Matt Duchene,F,
5162,T.J. Brodie,D,
5164,Erik Karlsson,D,
5172,Marcus Foligno,F,
5193,Nicolas Deslauriers,F,
5202,Brayden McNabb,D,
5208,Ryan O'Reilly,F,
5219,Brayden Schenn,F,
5246,Ben Chiarot,D,
5251,Evander Kane,F,
5262,Casey Cizikas,F,
5328,Dmitry Kulikov,D,
5337,Garrett Wilson,F,
5349,Nazem Kadri,F,
5393,Andrew Agozzino,F,
5407,Jeff Petry,D,
5428,Taylor Hall,F,
5430,Tyler Seguin,F,
5436,Roman Josi,D,
5447,Nick Leddy,D,
5452,Jacob Markstrom,G,
5474,Sam  Carrick,F,
5488,Oliver Ekman-Larsson,D,
5495,Cam Fowler,D,
5502,Radko Gudas,D,
5503,Erik Gudbranson,D,
5509,Zach Hyman,F,
5511,Nino Niederreiter,F,
5517,Kyle Palmieri,F,
5524,Calvin Pickard,G,
5526,Tyler Pitlick,F,
5540,Jeff Skinner,F,
5545,Mark Stone,F,
5550,Tyler Toffoli,F,
5560,Mats Zuccarello,F,
5571,Sergei Bobrovsky,G,
5592,Christopher Tanev,D,
5614,Brendan Gallagher,F,
5619,Petr Mrazek,G,
5620,Alex Petrovic,D,
5622,Scott Wedgewood,G,
5646,Dmitry Orlov,D,
5657,Philipp Grubauer,G,
5714,Marcus Johansson,F,
5734,Cam Talbot,G,
5738,Brian Dumoulin,D,
5746,Justin Faulk,D,
5763,Justin Holl,D,
5767,Kevin Hayes,F,
5793,Anders Lee,F,
5798,Brock Nelson,F,
5823,Gustav Nyquist,F,
5828,Nick Bjugstad,F,
5829,Derek Forbort,D,
5831,Mikael Granlund,F,
5833,Chris Kreider,F,
5835,Jaden Schwartz,F,
5837,Vladimir Tarasenko,F,
2335062,Luke Glendening,F,
2486992,Andrew Agozzino,F,
2500990,Reilly Smith,F,
2517899,Frederik Andersen,G,
2529256,Dylan McIlrath,D,
2554903,Brenden Dillon,D,
2555315,Charlie Coyle,F,
2555316,Calle Jarnkrok,F,
2558631,Mattias Ekholm,D,
2562596,Joel Armia,F,
2562600,Jonas Brodin,D,
2562601,Sean Couturier,F,
2562602,Phillip Danault,F,
2562605,Dougie Hamilton,D,
2562606,Jonathan Huberdeau,F,
2562609,Gabriel Landeskog,F,
2562610,Adam Larsson,D,
2562618,Connor Murphy,D,
2562622,Vladislav Namestnikov,F,
2562623,Stefan Noesen,F,
2562624,Ryan Nugent-Hopkins,F,
2562625,Jamie Oleksiak,D,
2562629,Rickard Rakell,F,
2562632,Mark Scheifele,F,
2562636,Ryan Strome,F,
2562637,Mika Zibanejad,F,
